cohort,cadence,mean_mape,median_mape,p95_mape,mbe_kwh,n_blocks,n_meters
A,dam_15min,4.427526910119449,2.370511140235913,14.27757330881169,-0.007196177304964539,5640,8
B,dam_15min,8.717680135549163,4.0948777592709655,27.217637407895367,-0.0021183789733464995,20260,29
C,dam_15min,19.473621984927167,7.2440139897767155,54.644578313253,0.014709417177914111,2282,4
D,dam_15min,75.75961546086795,52.985550086855824,134.7987499999997,-0.23032678571428572,504,1
A,hourly,3.7962153453517957,2.21074380165289,10.970758566052673,-0.028590530785562625,1413,8
B,hourly,6.583939965417718,3.739041615036431,20.817159044756732,-0.007466588998035396,5090,29
C,hourly,14.262832765738874,6.314632357090464,48.5684210526316,0.0576861815068493,584,4
D,hourly,63.04356678141836,51.72811147186147,112.67807692307684,-0.905681953125,128,1
A,native_30min,4.4275269101194485,2.370511140235913,14.277573308811665,-0.014392354609929077,2820,8
B,native_30min,8.717680135549163,4.0948777592709655,27.205766347542493,-0.004236757946692999,10130,29
C,native_30min,19.47362198492717,7.2440139897767155,54.644578313253,0.029418834355828222,1141,4
D,native_30min,75.75961546086795,52.985550086855824,131.5287499999999,-0.46065357142857144,252,1
A,tod_4h,3.465171342294151,2.035221168934559,10.740129277167433,-0.11411983050847455,354,8
B,tod_4h,5.234475270067296,3.189340400471144,16.54797449908926,-0.024464582750582733,1287,29
C,tod_4h,11.58580276632663,6.030327858959352,40.72280761811528,0.20339421686746995,166,4
D,tod_4h,101.54907615354401,51.968153526970966,131.78566801619408,-3.0981613513513517,37,1
