cohort,cadence,mean_mape,median_mape,p95_mape,mbe_kwh,n_blocks,n_meters,cadence_label
A,dam_15min,35.85030185438277,9.485225505443232,124.54805725971369,-0.008921897579143388,5370,8,dam_15min
B,dam_15min,70.59409957856384,15.784080512351329,134.40972352978096,-0.08266095325613514,18826,29,dam_15min
C,dam_15min,73.51694550507818,21.367624733475484,175.9989235737352,-0.052788517179023504,2212,4,dam_15min
D,dam_15min,85.67334006749353,41.35840336134454,118.543125,-0.07905980654761906,672,1,dam_15min
A,native_30min,35.85030185438277,9.485225505443232,124.4369569740239,-0.01784379515828678,2685,8,native_30min
B,native_30min,70.59409957856384,15.784080512351329,134.37269817360192,-0.16532190651227024,9413,29,native_30min
C,native_30min,73.51694550507818,21.367624733475484,174.95868342104214,-0.10557703435804701,1106,4,native_30min
D,native_30min,85.67334006749351,41.35840336134454,118.52395833333334,-0.15811961309523812,336,1,native_30min
A,hourly,27.740948319392754,9.594059405940598,107.3397037417287,-0.03502349702380953,1344,8,hourly
B,hourly,43.449038110717694,15.733518400416822,117.19548286604358,-0.3258302657076369,4727,29,hourly
C,hourly,79.5604549499375,20.932685634975723,138.06889671361526,-0.1976732915921288,559,4,hourly
D,hourly,74.6737474562042,26.137500000000006,107.38024999999998,-0.31623922619047623,168,1,hourly
A,tod_4h,21.0524971891332,10.710871956052513,61.687217159117964,-0.1400939880952381,336,8,tod_4h
B,tod_4h,123.16306994113864,15.811593213177277,98.38486132511557,-1.2550109163879597,1196,29,tod_4h
C,tod_4h,146.278919428966,25.850113550340655,132.49414383247213,-0.49491375796178344,157,4,tod_4h
D,tod_4h,80.30521939015865,37.06808763160437,437.42940732758603,-1.2649569047619047,42,1,tod_4h
